chain_id,sub_chain_id,store_id,item_status,allow_discount,price,unit_of_measure,unit_of_measure_price,is_weighted,quantity,quantity_unit,quantity_in_package,manufacturer_item_description,manufacture_country,manufacturer_name,name,item_type,code,price_date
7290027600007,001,001,0,true,2.4,100 גרם,2.4,false,100.0,גרמים,0,פיתה אסלית,IL,מאפ גדרון,פיתה אסלית אפוי קפוא,0,7290009398830,2022-09-30 01:05
7290027600007,001,001,0,true,21.9,"ק""ג",21.9,true,0.0,קילוגרמים,1,כבד עוף טרי,IL,.,כבד עוף טרי ארוז  עצמי,0,7290009806595,2022-09-30 00:30
7290027600007,001,001,1,true,79.0,"ק""ג",79.0,true,0.0,קילוגרמים,1,כדור  מוצרלה,IL,גבינות משק יעקבס,כדור מוצרלה שופרסל במשקל,0,7290009957426,2022-09-30 01:05
7290027600007,001,001,0,true,34.9,100 גרם,8.73,false,400.0,גרמים,0,קרם דבש פרחי הדר,IL,,קרם דבש פרחי הדר,1,7290010032709,2022-09-30 00:25
7290027600007,001,001,0,true,15.9,100 גרם,6.36,false,250.0,גרמים,0,פלפל צ'ומה,IL,נטו,פלפל צ'ומה ביטון 250 גרם,1,7290010154265,2022-09-30 00:30
7290027600007,001,001,0,true,12.9,100 גרם,3.23,false,400.0,גרמים,1,ממרח טחינה,IL,אחדות,"ממרח טחינה שוק.ללת""ס400ג",1,7290010328819,2022-09-30 00:30
7290027600007,001,001,0,true,8.9,100 גרם,4.45,false,200.0,גרמים,0,פנקו פרוי לחם,CN,,פנקו פרוי לחם,1,7290010513727,2022-09-30 01:05
7290027600007,001,001,0,true,10.9,100 גרם,36.33,false,30.0,גרמים,1,אבקה להכנת קפה,IL,אשבל,אבקה להכנת קפה 30 גרם,1,7290010561711,2022-09-30 01:05
7290027600007,001,001,1,true,16.4,"100 מ""ל",10.93,false,150.0,מיליליטרים,0,קרם ידיים,IL,פישר מעבדות פרמצבטיות בע,ק.ידיים אפקטיב קר יבש150,1,7290010748860,2022-09-30 00:25
7290027600007,001,001,0,true,32.6,"100 מ""ל",13.04,false,250.0,מיליליטרים,1,שמן בוטנים,IL,"ג.מ טעם הארץ בע""\ם","שמן בוטנים 250 מ""ל",1,7290010970575,2022-09-30 00:30
7290027600007,001,001,1,true,44.9,ליטר,34.02,false,1.32,ליטרים,0,בירה פאולנר 4 יח,DE,מבשלת פאולנר,"בירה פאולנר 4 * 330 מ""ל",1,7290011132552,2022-09-30 00:30
7290027600007,001,001,0,true,27.9,ליטר,14.09,false,1.98,ליטרים,0,מכבי שנדי 6 יח,IL,"טמפו משקאות בע""מ","מכבי שנדי אפרסק 330*6מ""ל",1,7290011133375,2022-09-30 00:30
7290027600007,001,001,1,true,21.5,"100 מ""ל",4.3,false,500.0,מיליליטרים,1,תרכיז תפוחים,IL,---,"תרכיז תפוחים סחוט 500מ""ל",1,7290011154035,2022-09-30 01:05
7290027600007,001,001,0,true,13.9,100 גרם,11.03,false,126.0,גרמים,0,"חט.חלבה ללת""ס",IL,"רושדי תעשיות מזון בע""\מ","חטיפי חלבה וניל ללת""ס126",1,7290011378233,2022-09-30 00:30
7290027600007,001,001,0,true,11.0,100 גרם,3.67,false,300.0,גרמים,0,נבט חיטה,IL,,נבט חיטה,1,7290011426040,2022-09-30 00:30
7290027600007,001,001,1,true,7.0,100 גרם,4.67,false,150.0,גרמים,0,סובין חיטה,IL,,סובין חיטה,1,7290011426248,2022-09-30 00:25
7290027600007,001,001,0,true,13.2,100 גרם,2.64,false,500.0,גרמים,0,פישתן אורגני,AR,,פישתן אורגני,1,7290011473808,2022-09-30 00:30
7290027600007,001,001,1,true,15.9,100 גרם,3.18,false,500.0,גרמים,0,קמח עדשים,TR,,קמח עדשים,1,7290011474362,2022-09-30 00:30
7290027600007,001,001,1,true,34.9,100 גרם,7.76,false,450.0,גרמים,1,שייק איט סגול,IL,בלדי,שייק איט סגול,1,7290011530747,2022-09-30 01:05
7290027600007,001,001,0,true,17.9,100 גרם,3.98,false,450.0,גרמים,1,תערובת לעוגה,IL,אשבל מזון פונקציונלי בע\,כרגיל תע.לעוגה וניל450גר,1,7290011570781,2022-09-30 00:30
7290027600007,001,001,1,true,11.9,100 גרם,2.2,false,540.0,גרמים,0,טורטיות,TR,,טורטיות,1,7290011615260,2022-09-30 00:30
7290027600007,001,001,0,true,14.9,100 גרם,29.8,false,50.0,גרמים,0,בייבי ביס,CN,want-want,בייבי ביס בטעם טבעי 50 ג,1,7290011618025,2022-09-30 00:25
7290027600007,001,001,1,true,16.9,100 גרם,8.45,false,200.0,גרמים,0,בייגלה אורגני,IL,,בייגלה אורגני,1,7290011830236,2022-09-30 00:30
7290027600007,001,001,1,true,16.9,100 גרם,6.76,false,250.0,גרמים,0,אטריות מאורז מלא,CN,השדה מוצרים אורגניים,אטריות מאורז מלא 250 גר,1,7290011830267,2022-09-30 00:25
7290027600007,001,001,1,true,15.1,100 גרם,3.78,false,400.0,גרמים,0,פינגווינים אורגנ,IT,,פינגווינים אורגנ,1,7290011830601,2022-09-30 00:30
7290027600007,001,001,0,true,34.9,100 גרם,5.82,false,600.0,גרמים,0,קציצות עוף ובקר,IL,מאמא עוף,קציצות עוף ובקר 600גרם,1,7290011876388,2022-09-30 00:30
7290027600007,001,001,1,true,28.7,יחידה,28.7,false,1.0,יחידה,0,סוכרלוז,CN,"קיפל טבליות וממתיקים בע""",סוכרלוז 150 טבליות כשלפ,1,7290012193125,2022-09-30 00:30
7290027600007,001,001,1,true,11.9,100 גרם,1.7,false,700.0,גרמים,1,עגבניות מרוסקות,IT,כללי,עגבניות מרוסקות 700 גרם,1,7290012208614,2022-09-30 01:05
